SDLK_UNKNOWN unknown
SDLK_MAIL mail
SDLK_CALCULATOR calculator
SDLK_COMPUTER computer
SDLK_AC_SEARCH ac_search
SDLK_AC_HOME ac_home
SDLK_AC_BACK ac_back
SDLK_AC_FORWARD ac_fwd
SDLK_AC_STOP ac_stop
SDLK_AC_REFRESH ac_refresh
SDLK_AC_BOOKMARKS ac_bookmarks

SDLK_BRIGHTNESSDOWN brightnessDown
SDLK_BRIGHTNESSUP brightnessUp
SDLK_DISPLAYSWITCH displaySwitch
SDLK_KBDILLUMTOGGLE kb_illum_toggle
SDLK_KBDILLUMDOWN kb_illum_down
SDLK_KBDILLUMUP kb_illum_up
SDLK_EJECT eject
SDLK_SLEEP sleep
SDLK_APP1 app1
SDLK_APP2 app2

SDLK_AUDIOREWIND audio_rewind
SDLK_AUDIOFASTFORWARD audio_fastforward
