SDL_SCANCODE_UNKNOWN unknown
SDL_SCANCODE_CURRENCYUNIT currency_unit
SDL_SCANCODE_CURRENCYSUBUNIT currency_subunit
SDL_SCANCODE_KP_LEFTPAREN kp_leftParen
SDL_SCANCODE_KP_RIGHTPAREN kp_rightParen
SDL_SCANCODE_KP_LEFTBRACE kp_leftBrace
SDL_SCANCODE_KP_RIGHTBRACE kp_rightBrace
SDL_SCANCODE_KP_TAB kp_tab
SDL_SCANCODE_KP_BACKSPACE kp_backspace
SDL_SCANCODE_KP_A kp_a
SDL_SCANCODE_KP_B kp_b
SDL_SCANCODE_KP_C kp_c
SDL_SCANCODE_KP_D kp_d
SDL_SCANCODE_KP_E kp_e
SDL_SCANCODE_KP_F kp_f
SDL_SCANCODE_KP_XOR kp_xor
SDL_SCANCODE_KP_POWER kp_power
SDL_SCANCODE_KP_PERCENT kp_percent
SDL_SCANCODE_KP_LESS kp_less
SDL_SCANCODE_KP_GREATER kp_greater
SDL_SCANCODE_KP_AMPERSAND kp_ampersand
SDL_SCANCODE_KP_DBLAMPERSAND kp_doubleAmpersand
SDL_SCANCODE_KP_VERTICALBAR kp_vbar
SDL_SCANCODE_KP_DBLVERTICALBAR kp_doubleVbar
SDL_SCANCODE_KP_COLON kp_colon
SDL_SCANCODE_KP_HASH kp_hash
SDL_SCANCODE_KP_SPACE kp_space
SDL_SCANCODE_KP_AT kp_at
SDL_SCANCODE_KP_EXCLAM kp_exclamationPoint
SDL_SCANCODE_KP_MEMSTORE kp_mem_store
SDL_SCANCODE_KP_MEMRECALL kp_mem_recall
SDL_SCANCODE_KP_MEMCLEAR kp_mem_clear
SDL_SCANCODE_KP_MEMADD kp_mem_add
SDL_SCANCODE_KP_MEMSUBTRACT kp_mem_subtract
SDL_SCANCODE_KP_MEMMULTIPLY kp_mem_multiply
SDL_SCANCODE_KP_MEMDIVIDE kp_mem_divide
SDL_SCANCODE_KP_PLUSMINUS kp_mem_plusminus
SDL_SCANCODE_KP_CLEAR kp_clear
SDL_SCANCODE_KP_CLEARENTRY kp_clearEntry
SDL_SCANCODE_KP_BINARY kp_binary
SDL_SCANCODE_KP_OCTAL kp_octal
SDL_SCANCODE_KP_DECIMAL kp_decimal
SDL_SCANCODE_KP_HEXADECIMAL kp_hex

SDL_SCANCODE_LCTRL lctrl
SDL_SCANCODE_LSHIFT lshift
SDL_SCANCODE_LALT lalt
SDL_SCANCODE_LGUI lgui
SDL_SCANCODE_RCTRL rctrl
SDL_SCANCODE_RSHIFT rshift
SDL_SCANCODE_RALT ralt
SDL_SCANCODE_RGUI rgui

SDL_SCANCODE_MODE mode

SDL_SCANCODE_AUDIONEXT audio_next
SDL_SCANCODE_AUDIOPREV audio_prev
SDL_SCANCODE_AUDIOSTOP audio_stop
SDL_SCANCODE_AUDIOPLAY audio_play
SDL_SCANCODE_AUDIOMUTE audio_mute
SDL_SCANCODE_MEDIASELECT mediaSelect
SDL_SCANCODE_WWW www
SDL_SCANCODE_MAIL mail
SDL_SCANCODE_CALCULATOR calculator
SDL_SCANCODE_COMPUTER computer
SDL_SCANCODE_AC_SEARCH ac_search
SDL_SCANCODE_AC_HOME ac_home
SDL_SCANCODE_AC_BACK ac_back
SDL_SCANCODE_AC_FORWARD ac_fwd
SDL_SCANCODE_AC_STOP ac_stop
SDL_SCANCODE_AC_REFRESH ac_refresh
SDL_SCANCODE_AC_BOOKMARKS ac_bookmarks

SDL_SCANCODE_BRIGHTNESSDOWN brightnessDown
SDL_SCANCODE_BRIGHTNESSUP brightnessUp
SDL_SCANCODE_DISPLAYSWITCH displaySwitch
SDL_SCANCODE_KBDILLUMTOGGLE kb_illum_toggle
SDL_SCANCODE_KBDILLUMDOWN kb_illum_down
SDL_SCANCODE_KBDILLUMUP kb_illum_up
SDL_SCANCODE_EJECT eject
SDL_SCANCODE_SLEEP sleep

SDL_SCANCODE_APP1 app1
SDL_SCANCODE_APP2 app2

SDL_SCANCODE_AUDIOREWIND audio_rewind
SDL_SCANCODE_AUDIOFASTFORWARD audio_fastforward
